#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,,,,,,,,,,,,,,
Name,City,Country,Department,Displayname,EmailAddress,Fax,FirstName,LastName,MobilePhone,Office,PasswordNeverExpires,PhoneNumber,PostalCode,SignInName,State,StreetAddress,Title,UserPrincipalName,Password
AlexD,San Diego,US,Sales & Marketing,Alex Darrow,AlexD@emsforcsp.com,,Alex,Darrow,,131/1104,TRUE,+1 858 555 0110,92121,AlexD@corp.alpineskihouse.com,CA,"9256 Towne Center Dr., Suite 400",Marketing Assistant,AlexD@corp.alpineskihouse.com,dzMRrFIXaC#
AllieB,Bellevue,US,Finance,Allie Bellew,AllieB@emsforcsp.com,,Allie,Bellew,,18/2107,TRUE,+1 425 555 0105,98004,AllieB@corp.alpineskihouse.com,WA,"205 108th Ave. NE, Suite 400",Administrative Assistant,AllieB@corp.alpineskihouse.com,Nzfco5xGaC#
AnneW,Louisville,US,Executive Management,Anne Wallace,AnneW@emsforcsp.com,,Anne,Wallace,,15/1102,TRUE,+1 502 555 0144,40223,AnneW@corp.alpineskihouse.com,KY,"9900 Corporate Campus Dr., Suite 3000",President,AnneW@corp.alpineskihouse.com,qMuZyamfaC#
AzizH,Cairo,EG,Finance,Aziz Hassouneh,AzizH@emsforcsp.com,,Aziz,Hassouneh,,98/2202,TRUE,+20 255501070,,AzizH@corp.alpineskihouse.com,,"Smart Village, Kilo 28, Cairo/Alex Desert Road",Accountant II,AzizH@corp.alpineskihouse.com,pLtTwuYsaC#
BelindaN,Charlotte,US,Legal,Belinda Newman,BelindaN@emsforcsp.com,,Belinda,Newman,,20/1109,TRUE,+1 980 555 0101,28273,BelindaN@corp.alpineskihouse.com,NC,8055 Microsoft Way,Paralegal,BelindaN@corp.alpineskihouse.com,kAelH4jCaC#
BonnieK,San Diego,US,Sales & Marketing,Bonnie Kearney,BonnieK@emsforcsp.com,,Bonnie,Kearney,,131/2105,TRUE,+1 858 555 0111,92121,BonnieK@corp.alpineskihouse.com,CA,"9257 Towne Center Dr., Suite 400",Sr. VP Sales & Marketing,BonnieK@corp.alpineskihouse.com,tQD6bmRnaC#
DavidL,Waukesha,US,Operations,David Longmuir,DavidL@emsforcsp.com,,David,Longmuir,,24/1106,TRUE,+1 262 555 0106,53188,DavidL@corp.alpineskihouse.com,WI,"N19 W24133 Riverwood Dr., Suite 150",Corporate Security Officer,DavidL@corp.alpineskihouse.com,TGxzL20OaC#
DenisD,Birmingham,US,Legal,Denis Dehenne,DenisD@emsforcsp.com,,Denis,Dehenne,,23/3104,TRUE,+1 205 555 0106,35243,DenisD@corp.alpineskihouse.com,AL,3535 Gradview Parkway Suite 335,Paralegal,DenisD@corp.alpineskihouse.com,Z5.r84PeaC#
DorenaP,Louisville,US,Engineering,Dorena Paschke,DorenaP@emsforcsp.com,,Dorena,Paschke,,23/2102,TRUE,+1 502 555 0102,40223,DorenaP@corp.alpineskihouse.com,KY,"9900 Corporate Campus Dr., Suite 3000",CVP Engineering,DorenaP@corp.alpineskihouse.com,nbVx8FqRaC#
FabriceC,Birmingham,US,Legal,Fabrice Canel,FabriceC@emsforcsp.com,,Fabrice,Canel,,14/1102,TRUE,+1 205 555 0103,35243,FabriceC@corp.alpineskihouse.com,AL,3535 Gradview Parkway Suite 335,Attorney,FabriceC@corp.alpineskihouse.com,VUYzMeZAaC#
GarretV,Seattle,US,Operations,Garret Vargas,GarretV@emsforcsp.com,,Garret,Vargas,,36/2121,TRUE,+1 206 555 0105,98109,GarretV@corp.alpineskihouse.com,WA,320 Westlake Ave N. Thomas St.,CVP Operations,GarretV@corp.alpineskihouse.com,UoQ4RN.jaC#
GarthF,Tulsa,US,Sales & Marketing,Garth Fort,GarthF@emsforcsp.com,,Garth,Fort,,20/1101,TRUE,+1 918 555 0101,74133,GarthF@corp.alpineskihouse.com,OK,"7633 E. 63rd Place, Suite 300",Web Marketing Manager,GarthF@corp.alpineskihouse.com,uFaZWnIJaC#
JanetS,Bellevue,US,Sales & Marketing,Janet Schorr,JanetS@emsforcsp.com,,Janet,Schorr,,18/2111,TRUE,+1 425 555 0109,98004,JanetS@corp.alpineskihouse.com,WA,"205 108th Ave. NE, Suite 400",Product Marketing Manager,JanetS@corp.alpineskihouse.com,oxi1dEjhaC#
JulianI,Bloomington,US,Legal,Julian Isla,JulianI@emsforcsp.com,,Julian,Isla,,19/2106,TRUE,+1 309 555 0101,61704,JulianI@corp.alpineskihouse.com,IL,"2203 E. Empire St., Suite J",Director,JulianI@corp.alpineskihouse.com,K1RVGc5UaC#
JunminH,Overland Park,US,Research & Development,Junmin Hao,JunminH@emsforcsp.com,,Junmin,Hao,,23/3101,TRUE,+1 913 555 0101,66210,JunminH@corp.alpineskihouse.com,KS,"10801 Mastin Blvd., Suite 620",CVP Research & Development,JunminH@corp.alpineskihouse.com,fgZWP0odaC#
KariF,Tokyo,JP,Finance,Kari Furse,KariF@emsforcsp.com,,Kari,Furse,,97/2302,TRUE,+81 345550115,108-0080,KariF@corp.alpineskihouse.com,,"Shinagawa Grand Central Tower, 2-16-3, Konan Minato-ku",Budget Analyst,KariF@corp.alpineskihouse.com,BIv8ZSiKaC#
KatieJ,Pittsburgh,US,Finance,Katie Jordan,KatieJ@emsforcsp.com,,Katie,Jordan,,12/1110,TRUE,+1 412 555 0109,15212,KatieJ@corp.alpineskihouse.com,PA,"30 Isabella St., Second Floor",Auditor,KatieJ@corp.alpineskihouse.com,DIwCSjhEaC#
MollyD,Tulsa,US,Sales & Marketing,Molly Dempsey,MollyD@emsforcsp.com,,Molly,Dempsey,,20/1104,TRUE,+1 918 555 0104,74133,MollyD@corp.alpineskihouse.com,OK,"7633 E. 63rd Place, Suite 300",Product Manager,MollyD@corp.alpineskihouse.com,tY6Sn7EJaC#
PavelB,Iselin,US,Sales & Marketing,Pavel Bansky,PavelB@emsforcsp.com,,Pavel,Bansky,,19/3123,TRUE,+1 732 555 0102,8830,PavelB@corp.alpineskihouse.com,NJ,"101 Wood Avenue South, Suite 900",VP Sales,PavelB@corp.alpineskihouse.com,6VouN8lcaC#
RobY,Bloomington,US,Legal,Rob Young,RobY@emsforcsp.com,,Rob,Young,,19/2109,TRUE,+1 309 555 0104,61704,RobY@corp.alpineskihouse.com,IL,"2203 E. Empire St., Suite J",CVP Legal,RobY@corp.alpineskihouse.com,BHzWJRA9aC#
RobinC,Fort Lauderdale,US,Sales & Marketing,Robin Counts,RobinC@emsforcsp.com,,Robin,Counts,,18/1106,TRUE,+1 954 555 0118,33309,RobinC@corp.alpineskihouse.com,FL,"6750 North Andrews Ave., Suite 400",Marketing Assistant,RobinC@corp.alpineskihouse.com,6HyEvP3maC#
SaraD,Tulsa,US,Sales & Marketing,Sara Davis,SaraD@emsforcsp.com,,Sara,Davis,,20/2107,TRUE,+1 918 555 0107,74133,SaraD@corp.alpineskihouse.com,OK,"7633 E. 63rd Place, Suite 300",Product Manager,SaraD@corp.alpineskihouse.com,fl.ocAmPaC#
TonyK,Birmingham,US,Finance,Tony Krijnen,TonyK@emsforcsp.com,,Tony,Krijnen,,14/1108,TRUE,+1 205 555 0108,35243,TonyK@corp.alpineskihouse.com,AL,3535 Gradview Parkway Suite 335,CVP Finance,TonyK@corp.alpineskihouse.com,YyLvpxlQaC#
ZrinkaM,San Diego,US,Sales & Marketing,Zrinka Makovac,ZrinkaM@emsforcsp.com,,Zrinka,Makovac,,131/2103,TRUE,+1 858 555 0109,92121,ZrinkaM@corp.alpineskihouse.com,CA,"9255 Towne Center Dr., Suite 400",VP Marketing,ZrinkaM@corp.alpineskihouse.com,mMoPDtyZaC#
