#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,,,,,,,,,,,,,
Name,City,Country,Department,Displayname,EmailAddress,Fax,FirstName,LastName,MobilePhone,Office,PasswordNeverExpires,PhoneNumber,PostalCode,SignInName,State,StreetAddress,Title,UserPrincipalName
AlexD,San Diego,United States,Sales & Marketing,Alex Darrow,AlexD@emsforcsp.com,,Alex,Darrow,,131/1104,TRUE,+1 858 555 0110,92121,AlexD@emsforcsp.com,CA,9256 Towne Center Dr,Marketing Assistant,AlexD@emsforcsp.com
AllieB,Bellevue,United States,Finance,Allie Bellew,AllieB@emsforcsp.com,,Allie,Bellew,,18/2107,TRUE,+1 425 555 0105,98004,AllieB@emsforcsp.com,WA,205 108th Ave. NE,Administrative Assistant,AllieB@emsforcsp.com
AnneW,Louisville,United States,Executive Management,Anne Wallace,AnneW@emsforcsp.com,,Anne,Wallace,,15/1102,TRUE,+1 502 555 0144,40223,AnneW@emsforcsp.com,KY,9900 Corporate Campus Dr,President,AnneW@emsforcsp.com
AzizH,Cairo,Egypt,Finance,Aziz Hassouneh,AzizH@emsforcsp.com,,Aziz,Hassouneh,,98/2202,TRUE,+20 255501070,,AzizH@emsforcsp.com,,Smart Village Cairo/Alex Desert Road,Accountant II,AzizH@emsforcsp.com
BelindaN,Charlotte,United States,Legal,Belinda Newman,BelindaN@emsforcsp.com,,Belinda,Newman,,20/1109,TRUE,+1 980 555 0101,28273,BelindaN@emsforcsp.com,NC,8055 Microsoft Way,Paralegal,BelindaN@emsforcsp.com
BonnieK,San Diego,United States,Sales & Marketing,Bonnie Kearney,BonnieK@emsforcsp.com,,Bonnie,Kearney,,131/2105,TRUE,+1 858 555 0111,92121,BonnieK@emsforcsp.com,CA,9257 Towne Center Dr.,Sr. VP Sales & Marketing,BonnieK@emsforcsp.com
Brian Johnson (TAILSPIN),,,,Brian Johnson (TAILSPIN),BrianJ@emsforcsp.com,,Brian,Johnson,,,FALSE,,,BrianJ@emsforcsp.com,,,,BrianJ@emsforcsp.com
DavidL,Waukesha,United States,Operations,David Longmuir,DavidL@emsforcsp.com,,David,Longmuir,,24/1106,TRUE,+1 262 555 0106,53188,DavidL@emsforcsp.com,WI,N19 W24133 Riverwood Dr.,Corporate Security Officer,DavidL@emsforcsp.com
DenisD,Birmingham,United States,Legal,Denis Dehenne,DenisD@emsforcsp.com,,Denis,Dehenne,,23/3104,TRUE,+1 205 555 0106,35243,DenisD@emsforcsp.com,AL,3535 Gradview Parkway Suite 335,Paralegal,DenisD@emsforcsp.com
DorenaP,Louisville,United States,Engineering,Dorena Paschke,DorenaP@emsforcsp.com,,Dorena,Paschke,,23/2102,TRUE,+1 502 555 0102,40223,DorenaP@emsforcsp.com,KY,9900 Corporate Campus Dr.,CVP Engineering,DorenaP@emsforcsp.com
